year,games,wins,losses,ties,win_pct,finish,games_back,playoffs,runs,runs_allowed,attendance,batter_age,pitcher_age,league_place
1974,162,72,90,0,0.444,5th of 6,30.0,,634,723,519987.0,25.2,25.3,5th
1973,162,88,74,0,0.543,3rd of 6,11.0,,739,702,834193.0,25.6,26.8,3rd
1972,155,69,86,0,0.445,5th of 6,26.5,,662,649,647744.0,25.5,27.0,5th
1971,162,90,72,0,0.556,1st of 6,0.0,Lost NLCS,706,644,1106043.0,27.3,28.5,1st
1970,162,86,76,0,0.531,3rd of 6,16.0,,831,826,740720.0,28.0,28.4,3rd
1969,162,90,72,0,0.556,2nd of 6,3.0,,713,636,873603.0,27.9,29.5,2nd
1968,163,88,74,1,0.543,2nd of 10,9.0,,599,529,837220.0,27.9,29.0,2nd
1967,162,91,71,0,0.562,2nd of 10,10.5,,652,551,1242480.0,27.2,28.6,2nd
1966,161,93,68,0,0.578,2nd of 10,1.5,,675,626,1657192.0,26.7,28.0,2nd
1965,163,95,67,1,0.586,2nd of 10,2.0,,682,593,1546075.0,26.7,28.8,2nd
1964,162,90,72,0,0.556,4th of 10,3.0,,656,587,1504364.0,27.4,27.7,4th
1963,162,88,74,0,0.543,3rd of 10,11.0,,725,641,1571306.0,28.2,28.8,3rd
1962,165,103,62,0,0.624,1st of 10,0.0,Lost WS,878,690,1592594.0,27.5,28.8,1st
1961,155,85,69,1,0.552,3rd of 8,8.0,,773,655,1390679.0,26.8,27.6,3rd
1960,156,79,75,2,0.513,5th of 8,16.0,,671,631,1795356.0,26.8,28.5,5th
1959,154,83,71,0,0.539,3rd of 8,4.0,,705,613,1422130.0,26.2,28.4,3rd
1958,154,80,74,0,0.519,3rd of 8,12.0,,727,698,1272625.0,26.8,27.6,3rd
