rk,pos,name,age,g,pa,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ba,obp,slg,ops,ops_plus,tb,gdp,hbp,sh,sf,ibb,season,bats
30,P,Gary Lavelle,25,10,4,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,0,0,0,2,0,0,1974,Both
31,P,John Morris,32,17,1,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,452.0,1,0,0,0,0,0,1974,Right
32,P,Butch Metzger,22,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1974,Right
33,P,Steve Barber,36,13,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1974,Left
34,P,Don Rose,27,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1974,Right
35,P,Don McMahon,44,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1974,Right
1,C,Dave Rader,26,98,328,292,39,85,15,0,5,31,1,0,32,30,0.291,0.36,0.394,0.754,106.0,115,9,1,0,3,12,1975,Left
2,1B,Willie Montañez,27,135,577,518,52,158,26,2,8,85,5,3,45,50,0.305,0.359,0.409,0.769,110.0,212,23,4,1,9,8,1975,Left
3,2B,Derrel Thomas,24,144,611,540,99,149,21,9,6,48,28,13,57,56,0.276,0.347,0.381,0.728,99.0,206,7,3,8,3,0,1975,Both
4,SS,Chris Speier,25,141,564,487,60,132,30,5,10,69,4,5,70,50,0.271,0.362,0.415,0.777,112.0,202,13,1,3,3,7,1975,Right
5,3B,Steve Ontiveros,23,108,388,325,21,94,16,0,3,31,2,0,55,44,0.289,0.391,0.366,0.757,108.0,119,9,2,2,4,4,1975,Both
6,LF,Gary Matthews,24,116,494,425,67,119,22,3,12,58,13,4,65,53,0.28,0.377,0.431,0.807,121.0,183,13,2,0,2,5,1975,Right
7,CF,Von Joshua,27,129,545,507,75,161,25,10,7,43,20,10,32,75,0.318,0.359,0.448,0.806,120.0,227,6,1,4,1,0,1975,Left
8,RF,Bobby Murcer,29,147,632,526,80,157,29,4,11,91,9,5,91,45,0.298,0.396,0.432,0.828,127.0,227,11,2,1,12,6,1975,Left
9,OF,Gary Thomasson,23,114,369,326,44,74,12,3,7,32,9,3,37,48,0.227,0.304,0.347,0.65,78.0,113,1,1,0,5,1,1975,Left
10,IF,Bruce Miller,28,99,328,309,22,74,6,3,1,31,0,1,15,26,0.239,0.275,0.288,0.563,54.0,89,15,1,1,2,0,1975,Right
11,C,Marc Hill,23,72,211,182,14,39,4,0,5,23,0,0,25,27,0.214,0.305,0.319,0.623,71.0,58,7,0,1,3,5,1975,Right
12,CI,Ed Goodson,27,39,129,121,10,25,7,0,1,8,0,1,7,14,0.207,0.248,0.289,0.537,47.0,35,4,0,0,1,2,1975,Left
13,C,Mike Sadek,29,42,121,106,14,25,5,2,0,9,1,0,14,14,0.236,0.322,0.321,0.643,77.0,34,6,0,0,1,1,1975,Right
14,LF,Glenn Adams,27,61,103,90,10,27,2,1,4,15,1,0,11,25,0.3,0.379,0.478,0.856,133.0,43,1,1,0,1,0,1975,Left
15,SS,Johnnie LeMaster,21,22,79,74,4,14,4,0,2,9,2,1,4,15,0.189,0.241,0.324,0.565,54.0,24,0,1,0,0,0,1975,Right
16,CF,Garry Maddox,25,17,60,52,4,7,1,0,1,4,1,1,6,3,0.135,0.237,0.212,0.449,24.0,11,0,1,1,0,1,1975,Right
17,OF,Jake Brown,27,41,48,43,6,9,3,0,0,4,0,0,5,13,0.209,0.292,0.279,0.571,57.0,12,0,0,0,0,0,1975,Right
18,UT,Chris Arnold,27,29,45,41,4,8,0,0,0,0,0,0,4,8,0.195,0.267,0.195,0.462,28.0,8,3,0,0,0,0,1975,Right
19,IF,Mike Phillips,24,10,37,31,3,6,0,0,0,1,1,0,6,4,0.194,0.324,0.194,0.518,45.0,6,1,0,0,0,0,1975,Left
20,MI,Craig Robinson,26,29,32,29,4,2,1,0,0,0,0,0,2,6,0.069,0.129,0.103,0.232,-36.0,3,1,0,1,0,0,1975,Right
21,UT,Jack Clark,19,8,19,17,3,4,0,0,0,2,1,0,1,2,0.235,0.263,0.235,0.498,37.0,4,0,0,0,1,0,1975,Right
22,OF,Horace Speed,23,17,17,15,2,2,1,0,0,1,0,0,1,8,0.133,0.235,0.2,0.435,20.0,3,0,1,0,0,0,1975,Right
23,C,Gary Alexander,22,3,4,3,1,0,0,0,0,0,0,0,1,2,0.0,0.25,0.0,0.25,-27.0,0,0,0,0,0,0,1975,Right
24,P,John Montefusco,25,35,94,80,4,7,0,1,1,2,0,0,5,44,0.088,0.141,0.15,0.291,-20.0,12,1,0,9,0,0,1975,Right
25,P,Jim Barr,27,38,91,76,5,9,1,0,0,2,0,0,3,24,0.118,0.152,0.132,0.283,-22.0,10,2,0,12,0,0,1975,Right
26,P,Pete Falcone,21,34,70,65,2,4,0,0,0,0,1,0,1,26,0.062,0.076,0.062,0.137,-62.0,4,2,0,4,0,0,1975,Left
27,P,Ed Halicki,24,24,61,53,2,6,1,0,0,3,0,0,3,21,0.113,0.161,0.132,0.293,-19.0,7,0,0,5,0,0,1975,Right
28,P,Mike Caldwell,26,38,51,44,2,7,3,0,0,3,0,0,0,11,0.159,0.159,0.227,0.386,5.0,10,2,0,7,0,0,1975,Right
29,P,Charlie Williams,27,55,17,16,1,2,0,1,0,0,0,0,1,7,0.125,0.176,0.25,0.426,16.0,4,1,0,0,0,0,1975,Right
30,P,Randy Moffitt,26,55,14,14,2,3,0,1,0,0,0,0,0,4,0.214,0.214,0.357,0.571,54.0,5,0,0,0,0,0,1975,Right
31,P,Tom Bradley,28,13,12,10,0,0,0,0,0,1,0,0,1,4,0.0,0.091,0.0,0.091,-73.0,0,0,0,1,0,0,1975,Right
32,P,Gary Lavelle,26,65,10,9,0,1,0,0,0,0,0,0,1,4,0.111,0.2,0.111,0.311,-13.0,1,1,0,0,0,0,1975,Both
33,P,John D'Acquisto,23,10,9,7,2,0,0,0,0,0,0,0,2,6,0.0,0.222,0.0,0.222,-35.0,0,0,0,0,0,0,1975,Right
34,P,Greg Minton,23,4,7,6,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100.0,0,0,0,1,0,0,1975,Both
35,P,Rob Dressler,21,3,5,4,1,0,0,0,0,0,0,0,1,2,0.0,0.2,0.0,0.2,-41.0,0,0,0,0,0,0,1975,Right
36,P,Dave Heaverlo,24,42,4,4,0,2,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1.0,175.0,2,0,0,0,0,0,1975,Right
37,P,Tommy Toms,23,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1975,Right
1,C,Dave Rader,27,88,284,255,25,67,15,0,1,22,2,0,27,21,0.263,0.332,0.333,0.665,88.0,85,12,0,1,1,8,1976,Left
2,1B,Darrell Evans,29,92,302,257,42,57,9,1,10,36,6,1,42,38,0.222,0.329,0.381,0.71,100.0,98,2,0,1,2,4,1976,Left
3,2B,Marty Perez,30,93,375,332,37,86,13,1,2,26,3,4,30,28,0.259,0.318,0.322,0.64,81.0,107,2,0,10,3,0,1976,Right
4,SS,Chris Speier,26,145,572,495,51,112,18,4,3,40,2,2,60,52,0.226,0.311,0.297,0.608,72.0,147,16,4,6,7,1,1976,Right
5,3B,Ken Reitz,25,155,614,577,40,154,21,1,5,66,5,4,24,48,0.267,0.293,0.333,0.626,76.0,192,24,1,3,9,5,1976,Right
6,LF,Gary Matthews,25,156,671,587,79,164,28,4,20,84,12,5,75,94,0.279,0.359,0.443,0.802,125.0,260,8,1,2,6,3,1976,Right
7,CF,Larry Herndon,22,115,365,337,42,97,11,3,2,23,12,10,23,45,0.288,0.337,0.356,0.693,96.0,120,4,2,3,0,0,1976,Right
8,RF,Bobby Murcer,30,147,624,533,73,138,20,2,23,90,12,7,84,78,0.259,0.362,0.433,0.796,124.0,231,11,4,0,3,10,1976,Left
9,UT,Gary Thomasson,24,103,361,328,45,85,20,5,8,38,8,3,30,45,0.259,0.321,0.424,0.745,109.0,139,4,1,0,2,7,1976,Left
10,2B,Derrel Thomas,25,81,313,272,38,63,5,4,2,19,10,11,29,26,0.232,0.313,0.301,0.614,74.0,82,5,4,6,2,0,1976,Both
11,1B,Willie Montañez,28,60,249,230,22,71,15,2,2,20,2,1,15,15,0.309,0.351,0.417,0.768,116.0,96,10,1,1,2,5,1976,Left
12,CF,Von Joshua,28,42,162,156,13,41,5,2,0,2,1,3,4,20,0.263,0.28,0.321,0.6,69.0,50,3,0,1,1,2,1976,Left
13,C,Marc Hill,24,54,146,131,11,24,5,0,3,15,0,1,10,19,0.183,0.243,0.29,0.533,50.0,38,3,1,2,2,2,1976,Right
14,CF,Jack Clark,20,26,115,102,14,23,6,2,2,10,6,2,8,18,0.225,0.277,0.382,0.659,85.0,39,0,0,3,2,0,1976,Right
15,C,Mike Sadek,30,55,109,93,8,19,2,0,0,7,0,0,11,10,0.204,0.295,0.226,0.521,49.0,21,2,1,4,0,2,1976,Right
16,SS,Johnnie LeMaster,22,33,105,100,9,21,3,2,0,9,2,0,2,21,0.21,0.223,0.28,0.503,41.0,28,2,0,2,1,0,1976,Right
17,C,Gary Alexander,23,23,84,73,12,13,1,1,2,7,1,0,10,16,0.178,0.274,0.301,0.575,62.0,22,1,0,0,1,1,1976,Right
18,UT,Steve Ontiveros,24,59,82,74,8,13,3,0,0,5,0,0,6,11,0.176,0.244,0.216,0.46,31.0,16,2,1,0,1,0,1976,Both
19,IF,Chris Arnold,28,60,76,69,4,15,0,1,0,5,0,0,6,16,0.217,0.276,0.246,0.523,49.0,17,4,0,0,1,1,1976,Right
20,OF,Glenn Adams,28,69,75,74,2,18,4,0,0,3,1,0,1,12,0.243,0.253,0.297,0.551,55.0,22,4,0,0,0,0,1976,Left
21,IF,Bruce Miller,29,12,27,25,1,4,1,0,0,2,0,0,2,5,0.16,0.222,0.2,0.422,20.0,5,0,0,0,0,1,1976,Right
22,IF,Craig Robinson,27,15,17,13,4,4,1,0,0,2,0,1,3,4,0.308,0.438,0.385,0.822,134.0,5,0,0,1,0,0,1976,Right
23,P,Jim Barr,28,41,92,74,3,12,2,2,0,9,2,0,4,21,0.162,0.213,0.243,0.456,28.0,18,0,1,12,1,0,1976,Right
24,P,John Montefusco,26,38,91,78,3,8,1,0,0,3,0,0,5,42,0.103,0.165,0.115,0.28,-20.0,9,1,1,6,1,0,1976,Right
25,P,Ed Halicki,25,32,66,53,3,9,0,0,0,3,1,0,6,23,0.17,0.254,0.17,0.424,22.0,9,1,0,7,0,0,1976,Right
26,P,Rob Dressler,22,25,34,31,2,4,0,0,0,1,0,0,0,14,0.129,0.156,0.129,0.285,-19.0,4,0,1,2,0,0,1976,Right
27,P,John D'Acquisto,24,28,31,26,1,7,1,0,0,2,0,0,1,11,0.269,0.296,0.308,0.604,71.0,8,1,0,4,0,0,1976,Right
28,P,Mike Caldwell,27,50,20,19,1,3,1,0,0,0,0,0,0,4,0.158,0.158,0.211,0.368,3.0,4,0,0,1,0,0,1976,Right
29,P,Gary Lavelle,27,65,15,13,0,1,0,0,0,1,0,0,0,3,0.077,0.077,0.077,0.154,-56.0,1,0,0,2,0,0,1976,Both
30,P,Randy Moffitt,27,58,14,14,1,2,0,0,0,1,0,0,0,5,0.143,0.143,0.143,0.286,-19.0,2,0,0,0,0,0,1976,Right
31,P,Bob Knepper,22,4,9,9,0,1,0,0,0,1,0,0,0,3,0.111,0.111,0.111,0.222,-37.0,1,0,0,0,0,0,1976,Left
32,P,Charlie Williams,28,48,9,8,1,1,0,0,0,0,0,0,0,4,0.125,0.222,0.125,0.347,0.0,1,0,1,0,0,0,1976,Right
33,P,Frank Riccelli,23,4,6,6,0,1,0,0,0,0,0,0,0,3,0.167,0.167,0.167,0.333,-6.0,1,0,0,0,0,0,1976,Left
34,P,Greg Minton,24,11,5,5,0,1,0,0,0,0,0,0,0,2,0.2,0.2,0.2,0.4,13.0,1,0,0,0,0,0,1976,Both
35,P,Dave Heaverlo,25,61,3,3,0,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,89.0,1,0,0,0,0,0,1976,Right
36,P,Tommy Toms,24,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1976,Right
1,C,Marc Hill,25,108,364,320,28,80,10,0,9,50,0,1,34,34,0.25,0.316,0.366,0.681,84.0,117,12,0,3,7,6,1977,Right
2,1B,Willie McCovey,39,141,548,478,54,134,21,0,28,86,3,0,67,106,0.28,0.367,0.5,0.867,132.0,239,16,0,0,3,16,1977,Left
3,2B,Rob Andrews,24,127,501,436,60,115,11,3,0,25,5,6,56,33,0.264,0.345,0.303,0.648,77.0,132,6,0,5,3,0,1977,Right
4,SS,Tim Foli,26,104,387,368,30,84,17,3,4,27,2,4,11,16,0.228,0.247,0.323,0.571,53.0,119,6,0,3,5,1,1977,Right
5,3B,Bill Madlock,26,140,585,533,70,161,28,1,12,46,13,10,43,33,0.302,0.36,0.426,0.785,111.0,227,25,6,1,2,14,1977,Right
6,LF,Darrell Evans,30,144,539,461,64,117,18,3,17,72,9,6,69,50,0.254,0.351,0.416,0.768,107.0,192,8,3,1,5,3,1977,Left
7,CF,Derrel Thomas,26,148,568,506,75,135,13,10,8,44,15,13,46,70,0.267,0.328,0.379,0.707,91.0,192,8,2,10,4,1,1977,Both
8,RF,Jack Clark,21,136,468,413,64,104,17,4,13,51,12,4,49,73,0.252,0.332,0.407,0.739,98.0,168,7,2,1,3,2,1977,Right
9,UT,Gary Thomasson,25,145,534,446,63,114,24,6,17,71,16,4,75,102,0.256,0.358,0.451,0.809,117.0,201,7,1,4,8,8,1977,Left
10,OF,Terry Whitfield,24,114,352,326,41,93,21,3,7,36,2,3,20,46,0.285,0.329,0.433,0.761,104.0,141,4,2,2,2,1,1977,Left
11,2B,Vic Harris,27,69,189,165,28,43,12,0,2,14,2,1,19,36,0.261,0.332,0.37,0.701,89.0,61,1,0,2,3,1,1977,Both
12,LF,Randy Elliott,26,73,178,167,17,40,5,1,7,26,0,2,8,24,0.24,0.275,0.407,0.682,82.0,68,5,1,0,2,1,1977,Right
13,SS,Johnnie LeMaster,23,68,152,134,13,20,5,1,0,8,2,1,13,27,0.149,0.223,0.201,0.424,16.0,27,0,0,4,1,3,1977,Right
14,C,Gary Alexander,24,51,143,119,17,36,4,2,5,20,3,1,20,33,0.303,0.406,0.496,0.901,142.0,59,5,2,0,2,2,1977,Right
15,C,Mike Sadek,31,61,141,126,12,29,7,0,1,15,2,1,12,5,0.23,0.297,0.31,0.607,64.0,39,2,0,3,0,0,1977,Right
16,CF,Larry Herndon,23,49,118,109,13,26,4,3,1,5,4,2,5,20,0.239,0.278,0.358,0.636,71.0,39,4,1,2,0,1,1977,Right
17,SS,Chris Speier,27,6,17,17,1,3,1,0,0,0,0,0,0,3,0.176,0.176,0.235,0.412,10.0,4,0,0,0,0,0,1977,Right
18,1B,Skip James,27,10,17,15,3,4,1,0,0,3,0,0,2,3,0.267,0.353,0.333,0.686,87.0,5,1,0,0,0,0,1977,Left
19,C,Ken Rudolph,30,11,16,15,1,3,0,0,0,0,0,0,1,3,0.2,0.25,0.2,0.45,23.0,3,0,0,0,0,1,1977,Right
20,,Tom Heintzelman,30,2,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1977,Right
21,P,Ed Halicki,26,37,96,85,7,15,4,0,2,5,0,0,4,29,0.176,0.211,0.294,0.505,35.0,25,0,0,5,1,0,1977,Right
22,P,Jim Barr,29,44,92,76,2,10,2,0,0,9,0,0,2,22,0.132,0.165,0.158,0.322,-12.0,12,0,1,13,0,0,1977,Right
23,P,Bob Knepper,23,27,65,55,4,10,1,0,0,4,0,0,5,18,0.182,0.25,0.2,0.45,23.0,11,1,0,5,0,0,1977,Left
24,P,John Montefusco,27,26,56,49,1,6,0,0,1,4,0,0,3,24,0.122,0.173,0.184,0.357,-3.0,9,0,0,4,0,0,1977,Right
25,P,Lynn McGlothen,27,21,21,19,1,2,1,0,0,2,0,0,1,8,0.105,0.15,0.158,0.308,-17.0,3,0,0,1,0,0,1977,Left
26,P,Charlie Williams,29,55,19,18,0,4,0,0,0,1,0,0,0,3,0.222,0.222,0.222,0.444,21.0,4,0,0,1,0,0,1977,Right
27,P,John Curtis,29,44,17,13,4,3,0,1,0,0,0,0,1,8,0.231,0.286,0.385,0.67,79.0,5,0,0,3,0,0,1977,Left
28,P,Gary Lavelle,28,73,14,14,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1977,Both
29,P,Dave Heaverlo,26,56,8,5,0,0,0,0,0,0,0,0,1,2,0.0,0.167,0.0,0.167,-50.0,0,0,0,2,0,0,1977,Right
30,P,Greg Minton,25,3,5,3,0,1,0,0,0,0,0,0,1,2,0.333,0.5,0.333,0.833,131.0,1,0,0,1,0,0,1977,Both
31,P,Randy Moffitt,28,64,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0,0,0,1,0,0,1977,Right
32,P,Terry Cornutt,24,28,2,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,1,0,0,1977,Right
33,P,Tommy Toms,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1977,Right
1,C,Marc Hill,26,117,406,358,20,87,15,1,3,36,1,2,45,39,0.243,0.329,0.316,0.645,85.0,113,12,1,2,0,8,1978,Right
2,1B,Willie McCovey,40,108,390,351,32,80,19,2,12,64,1,0,36,57,0.228,0.298,0.396,0.694,97.0,139,12,0,0,2,8,1978,Left
3,2B,Bill Madlock,27,122,509,447,76,138,26,3,15,44,16,5,48,39,0.309,0.378,0.481,0.859,144.0,215,6,3,9,2,11,1978,Right
4,SS,Johnnie LeMaster,24,101,308,272,23,64,18,3,1,14,6,6,21,45,0.235,0.293,0.335,0.627,79.0,91,4,1,14,0,1,1978,Right
5,3B,Darrell Evans,31,159,668,547,82,133,24,2,20,78,4,5,105,64,0.243,0.36,0.404,0.764,118.0,221,5,0,6,10,12,1978,Left
6,LF,Terry Whitfield,25,149,543,488,70,141,20,2,10,32,5,11,33,69,0.289,0.335,0.4,0.734,109.0,195,9,2,17,3,5,1978,Left
7,CF,Larry Herndon,24,151,521,471,52,122,15,9,1,32,13,8,35,71,0.259,0.311,0.335,0.646,84.0,158,12,1,13,1,2,1978,Right
8,RF,Jack Clark,22,156,657,592,90,181,46,8,25,98,15,11,50,72,0.306,0.358,0.537,0.895,152.0,318,15,3,3,9,8,1978,Right
9,UT,Mike Ivie,25,117,352,318,34,98,14,3,11,55,3,0,27,45,0.308,0.363,0.475,0.838,137.0,151,6,2,2,3,6,1978,Right
10,SS,Roger Metzger,30,75,255,235,17,61,6,1,0,17,8,1,12,17,0.26,0.294,0.294,0.588,68.0,69,4,0,7,1,0,1978,Both
11,LF,Héctor Cruz,25,79,220,197,19,44,8,1,6,24,0,2,21,39,0.223,0.301,0.365,0.667,89.0,72,6,1,1,0,2,1978,Right
12,UT,Jim Dwyer,28,73,208,173,22,39,9,2,5,22,6,0,28,29,0.225,0.327,0.387,0.714,103.0,67,1,0,3,4,3,1978,Left
13,2B,Rob Andrews,25,79,202,177,21,39,3,3,1,11,5,1,20,18,0.22,0.299,0.288,0.588,68.0,51,2,0,5,0,1,1978,Right
14,C,Mike Sadek,32,40,120,109,15,26,3,0,2,9,1,0,10,11,0.239,0.303,0.321,0.624,78.0,35,2,0,1,0,2,1978,Right
15,MI,Vic Harris,28,53,116,100,8,15,4,0,1,11,0,0,11,24,0.15,0.23,0.22,0.45,29.0,22,0,0,3,2,1,1978,Both
16,C,John Tamargo,26,36,113,92,6,22,4,1,1,8,1,1,18,7,0.239,0.36,0.337,0.697,100.0,31,1,0,2,1,5,1978,Both
17,IF,Tom Heintzelman,31,27,37,35,2,8,1,0,2,6,0,0,2,5,0.229,0.27,0.429,0.699,97.0,15,0,0,0,0,0,1978,Right
18,1B,Skip James,28,41,26,21,5,2,1,0,0,3,1,0,4,5,0.095,0.24,0.143,0.383,12.0,3,2,0,1,0,0,1978,Left
19,,Art Gardner,25,7,3,3,2,0,0,0,0,0,0,1,0,2,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1978,Left
20,C,Dennis Littlejohn,23,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1978,Right
21,P,Vida Blue,28,35,101,79,8,6,1,0,1,2,0,0,16,51,0.076,0.24,0.127,0.366,7.0,10,0,1,5,0,0,1978,Both
22,P,Bob Knepper,24,36,95,79,2,5,2,0,0,5,0,0,6,35,0.063,0.126,0.089,0.215,-38.0,7,2,0,8,2,0,1978,Left
23,P,John Montefusco,28,37,85,70,2,4,1,0,0,0,1,0,5,32,0.057,0.132,0.071,0.203,-41.0,5,2,1,9,0,0,1978,Right
24,P,Ed Halicki,27,29,75,66,2,9,0,0,0,3,0,0,0,18,0.136,0.149,0.136,0.286,-18.0,9,1,1,8,0,0,1978,Right
25,P,Jim Barr,30,34,55,50,1,5,0,0,0,2,0,0,0,8,0.1,0.1,0.1,0.2,-43.0,5,0,0,5,0,0,1978,Right
26,P,Gary Lavelle,29,67,16,15,1,1,0,0,0,0,0,0,0,8,0.067,0.067,0.067,0.133,-62.0,1,0,0,1,0,0,1978,Both
27,P,Randy Moffitt,29,70,9,7,0,1,0,0,0,0,0,0,1,1,0.143,0.25,0.143,0.393,15.0,1,0,0,1,0,0,1978,Right
28,P,Charlie Williams,30,25,5,5,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1978,Right
29,P,Lynn McGlothen,28,5,3,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1978,Left
30,P,John Curtis,30,46,3,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,1,0,0,1978,Left
31,P,Phil Nastu,23,3,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1978,Left
32,P,Greg Minton,26,11,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1978,Both
33,P,Terry Cornutt,25,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1978,Right
34,P,Ed Plank,26,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1978,Right
1,C,Dennis Littlejohn,24,63,222,193,15,38,6,1,1,13,0,0,21,46,0.197,0.272,0.254,0.526,49.0,49,4,0,5,3,4,1979,Right
2,1B,Willie McCovey,41,117,394,353,34,88,9,0,15,57,0,2,36,70,0.249,0.318,0.402,0.72,102.0,142,7,1,0,3,2,1979,Left
3,2B,Joe Strain,25,67,285,257,27,62,8,1,1,12,8,4,13,21,0.241,0.285,0.292,0.577,63.0,75,5,3,11,1,0,1979,Right
4,SS,Johnnie LeMaster,25,108,372,343,42,87,11,2,3,29,9,5,23,55,0.254,0.304,0.324,0.627,77.0,111,6,2,3,1,1,1979,Right
5,3B,Darrell Evans,32,160,661,562,68,142,23,2,17,70,6,7,91,80,0.253,0.356,0.391,0.748,111.0,220,6,2,1,5,14,1979,Left
6,LF,Terry Whitfield,26,133,445,394,52,113,20,4,5,44,5,4,36,47,0.287,0.349,0.396,0.745,110.0,156,15,4,7,4,6,1979,Left
7,CF,Bill North,31,142,561,460,87,119,15,4,5,30,58,24,96,84,0.259,0.386,0.341,0.727,107.0,157,5,1,1,3,3,1979,Both
8,RF,Jack Clark,23,143,598,527,84,144,25,2,26,86,11,8,63,95,0.273,0.348,0.476,0.825,130.0,251,9,1,1,6,6,1979,Right
9,UT,Mike Ivie,26,133,455,402,58,115,18,3,27,89,5,1,47,80,0.286,0.359,0.547,0.906,152.0,220,10,1,0,4,7,1979,Right
10,OF,Larry Herndon,25,132,389,354,35,91,14,5,7,36,8,6,29,70,0.257,0.313,0.384,0.698,96.0,136,3,1,3,2,5,1979,Right
11,SS,Roger Metzger,31,94,288,259,24,65,7,8,0,31,11,3,23,31,0.251,0.311,0.34,0.651,84.0,88,6,0,5,1,2,1979,Both
12,2B,Bill Madlock,28,69,270,249,37,65,9,2,7,41,11,3,18,19,0.261,0.309,0.398,0.706,98.0,99,3,0,1,2,3,1979,Right
13,C,Marc Hill,27,63,200,169,20,35,3,0,3,15,0,1,26,25,0.207,0.308,0.278,0.586,67.0,47,5,0,2,3,5,1979,Right
14,2B,Rob Andrews,26,75,170,154,22,40,3,0,2,13,4,1,8,9,0.26,0.289,0.318,0.607,71.0,49,5,0,4,4,0,1979,Right
15,C,Mike Sadek,33,63,147,126,14,30,5,0,1,11,1,0,15,24,0.238,0.322,0.302,0.623,77.0,38,6,1,4,1,2,1979,Right
16,RF,Max Venable,22,55,97,85,12,14,1,1,0,3,3,3,10,18,0.165,0.26,0.2,0.46,32.0,17,0,1,1,0,1,1979,Left
17,OF,Greg Johnston,24,42,76,74,5,15,2,0,1,7,0,0,2,17,0.203,0.224,0.27,0.494,39.0,20,1,0,0,0,0,1979,Left
18,C,John Tamargo,27,30,67,60,7,12,3,0,2,6,0,0,4,8,0.2,0.239,0.35,0.589,64.0,21,0,0,0,3,0,1979,Both
19,UT,Héctor Cruz,26,16,28,25,2,3,0,0,0,1,0,0,3,7,0.12,0.214,0.12,0.334,-3.0,3,2,0,0,0,0,1979,Right
20,C,Bob Kearney,22,2,1,0,0,0,0,0,0,0,0,0,1,0,,1.0,,,,0,0,0,0,0,0,1979,Right
21,P,Vida Blue,29,37,97,83,7,10,1,0,1,3,0,0,6,35,0.12,0.18,0.169,0.348,-1.0,14,0,0,8,0,0,1979,Both
22,P,Bob Knepper,25,35,78,66,6,12,4,0,1,9,0,0,1,24,0.182,0.203,0.288,0.491,37.0,19,0,1,9,1,0,1979,Left
23,P,John Montefusco,29,24,45,42,3,7,3,1,0,3,0,1,1,11,0.167,0.186,0.286,0.472,31.0,12,1,0,2,0,0,1979,Right
24,P,John Curtis,31,29,43,34,3,5,1,0,0,3,0,0,2,9,0.147,0.216,0.176,0.393,12.0,6,0,1,6,0,0,1979,Left
25,P,Ed Whitson,24,18,37,32,1,5,0,0,0,2,0,0,0,10,0.156,0.156,0.156,0.313,-11.0,5,0,0,5,0,0,1979,Right
26,P,Ed Halicki,28,33,37,34,3,7,1,0,0,1,0,0,1,9,0.206,0.229,0.235,0.464,31.0,8,1,0,2,0,0,1979,Right
27,P,Phil Nastu,24,25,31,24,1,1,0,0,0,1,0,0,3,7,0.042,0.148,0.042,0.19,-44.0,1,0,0,4,0,0,1979,Left
28,P,Tom Griffin,31,59,15,14,1,1,0,0,0,0,0,0,0,6,0.071,0.071,0.071,0.143,-60.0,1,0,0,1,0,0,1979,Right
29,P,Gary Lavelle,30,70,6,4,2,1,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.5,42.0,1,0,0,2,0,0,1979,Both
30,P,Greg Minton,27,46,6,4,0,0,0,0,0,0,0,0,1,1,0.0,0.2,0.0,0.2,-38.0,0,0,0,1,0,0,1979,Both
31,P,Dave Roberts,34,26,5,5,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1979,Left
32,P,Randy Moffitt,30,29,4,4,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1979,Right
